109,102,94,19,107,11,122,26,234,242,13,105,50,59,112,201,120,32,213,2,133,233,142,111,166,4,139,215,36,114,70,12,38,125,115,239,132,15,29,212,20,161,172,35,97,162,169,197,51,190,219,211,157,174,170,137,136,22,153,168,167,30,241,226,7,127,189,240,140,191,110,89,54,69,128,199,95,176,178,100,149,171,177,91,64,187,126,131,1,90,165,39,135,118,192,238,25,43,87,93
14.713583,12.495824,12.401395,11.68675,11.232635,11.192158,11.152919,10.896361,10.849388,10.728285,10.65862,10.654848,10.371732,10.358659,10.347606,10.331906,10.320633,10.289695,10.2882,10.283331,10.234259,10.225413,10.220576,10.209432,10.140919,10.133499,10.110622,10.097071,10.096634,10.018524,10.013979,9.98274,9.965582,9.960217,9.949925,9.926473,9.905592,9.89839,9.887668,9.835095,9.818159,9.8166685,9.814971,9.8035145,9.779594,9.748725,9.693413,9.687179,9.65536,9.64989,9.648848,9.648135,9.645085,9.633813,9.633455,9.621752,9.61661,9.597189,9.59565,9.595122,9.5877075,9.587051,9.578901,9.578262,9.57816,9.567602,9.566469,9.555438,9.550558,9.5416,9.537512,9.534088,9.524729,9.517881,9.516085,9.513453,9.498407,9.495921,9.487428,9.485842,9.479587,9.474567,9.468668,9.467501,9.456598,9.451482,9.4418545,9.440209,9.43656,9.428617,9.427939,9.423429,9.421727,9.416055,9.415787,9.415232,9.402327,9.399858,9.397481,9.390894
NACCAGE,NACCETPR,ALCDEM,MEMORY,NACCNORM,EDUC,NPGRLCH,DECSUB,NACCBNKF,NACCINT,NACCLIVS,NACCAGEB,MOFALLS,NACCPPA,NACCNE4S,NPFTDT9,NPGRHA,COGATTN,NPTDPC,BIRTHMO,NPTHAL,NACCOTHP,NPINF1B,NACCAPOE,NPOLD4,SEX,NACCAMY,NPTDPE,DECAGE,NPFIX,NACCALZP,MARISTAT,BEDEP,NPABAN,NPWBRWT,NPBNKF,NPHISO,RESIDENC,COGJUDG,NPTDPB,ORIENT,NPHEMO3,NPOLDD4,COGMODE,DYSILLIF,NPOLD,NPOLDD1,NPFTDT5,MOTREM,NPNLOSS,NPPDXD,NPTDPA,NACCINF,NACCARTE,NPOLDD2,NACCDIFF,NPADNC,COMMUN,NPINF4A,NPOLDD,NACCMICR,COGLANG,NACCDAGE,NPPDXK,RACE,NPTDPAN,NPLBOD,NPFAUT,NPINF,NPHIPSCL,NACCUDSD,NEOPIF,MOMODE,NACCALZD,NPHISMB,NPFTDT7,ALCDEMIF,NPPATH,NPPATH2,COGOTH,NPINF3A,NPOLDD3,NACCNEC,DEPIF,NACCMCIA,NPPATH11,NPASAN,NPHIST,NACCREFR,DEP,NPOLD3,BEVHALL,NACCNEUR,NPGRCCA,NPFTDTAU,NACCCSFP,CDRSUM,BEIRRIT,HYCEPHIF,OTHPSYIF
