105,22,109,108,59,67,214,112,20,126,38,241,15,242,175,25,211,174,52,191,13,61,27,4,226,23,113,233,137,49,11,236,146,195,129,34,54,51,139,16,196,14,91,46,131,31,123,147,40,121,42,120,21,111,2,118,69,127,60,53,231,6,7,212,189,234,170,192,3,101,24,151,154,26,44,104,125,1,72,197,90,28,0,132,150,159,56,161,65,162,12,141,64,183,155,32,163,133,187,157
16.120998,12.61292,12.533147,11.846941,11.245655,10.981831,10.57739,10.286419,10.122469,10.121734,10.003768,9.961748,9.945139,9.897852,9.855883,9.849515,9.849348,9.797374,9.793527,9.778528,9.740728,9.733232,9.724693,9.707657,9.700594,9.695978,9.684415,9.64788,9.642384,9.630809,9.620096,9.594325,9.586386,9.585046,9.584708,9.581945,9.581186,9.579369,9.578576,9.571665,9.571413,9.543901,9.531739,9.527682,9.522272,9.512994,9.510614,9.505673,9.504247,9.502212,9.498487,9.484258,9.468786,9.467313,9.466055,9.466024,9.457845,9.453241,9.441824,9.425234,9.419427,9.417968,9.410532,9.399612,9.397906,9.388367,9.383265,9.38265,9.370325,9.365787,9.365576,9.364873,9.3611555,9.357713,9.3576765,9.354876,9.354523,9.352528,9.349536,9.3475065,9.3445,9.339264,9.32993,9.325621,9.323332,9.318772,9.317224,9.316759,9.314047,9.3119335,9.308531,9.296352,9.295717,9.289061,9.281538,9.279013,9.278773,9.273654,9.270043,9.268232
NACCAGEB,COMMUN,NACCAGE,NACCIDEM,NACCPPA,NACCMCII,NPTDPD,NACCNE4S,ORIENT,NPASAN,BEDEP,NACCDAGE,RESIDENC,NACCINT,NPWMR,CDRSUM,NPTDPA,NACCARTE,MOSLOW,NPHIPSCL,NACCLIVS,NACCLBDS,DECIN,SEX,NPPDXK,HOMEHOBB,NPPMIH,NACCOTHP,NACCDIFF,MOGAIT,EDUC,NACCFORM,NPINF2B,NACCCBD,NPHISG,NACCCOGF,MOMODE,MOTREM,NACCAMY,HANDED,NACCPROG,INDEPEND,DEPIF,BEOTHR,NPHIST,COGVIS,NACCAVAS,NPINF2D,BEAHALL,NPGRSNH,BEDISIN,NPGRHA,JUDGMENT,NACCAPOE,BIRTHMO,NPGRCCA,NACCALZD,NPTDPAN,NACCBVFT,NACCMOTF,NPPDXP,HISPOR,RACE,NPTDPB,NPLBOD,NACCBNKF,NPOLDD2,NPFTDTAU,BIRTHYR,COGOTHIF,PERSCARE,NPINF3D,NPINF4B,DECSUB,BEAGIT,NACCFTDM,NPABAN,NACCREFR,NACCLBDP,NPFTDT5,DEP,COGMEM,NACCREAS,NPHISO,NPINF3B,NPHEMO1,FRSTCHG,NPHEMO3,NACCMCIE,NPOLD,MARISTAT,NPINF1A,NACCMCIA,NPPATH7,NPINF4D,COGATTN,NPOLD1,NPTHAL,NPPATH11,NACCINF
